Id,MSSubClass,LotArea,YearBuilt,GarageYrBlt,GarageArea,YrSold,SalePrice
350,60,20431,2005,2006,706,2006,437154
351,120,7820,2007,2007,617,2007,318061
352,120,5271,1986,1986,445,2006,190000
353,50,9084,1941,1941,200,2008,95000
354,30,8520,1928,2005,484,2010,105900
355,50,8400,1940,1940,240,2006,140000
356,20,11249,1995,1995,521,2007,177500
357,20,9248,1992,1992,400,2009,173000
358,120,4224,1976,1976,528,2007,134000
359,80,6930,1958,1958,288,2006,130000
360,60,12011,1998,1998,592,2006,280000
361,85,7540,1978,1978,470,2007,156000
362,50,9144,1940,1940,240,2008,145000
363,85,7301,2003,2003,672,2009,198500
364,160,1680,1972,1972,264,2009,118000
365,60,18800,1976,1976,566,2006,190000
366,70,10690,1920,1964,468,2009,147000
367,20,9500,1963,1963,514,2009,159000
368,80,9150,1962,1962,296,2008,165000
369,20,7800,1954,1954,244,2010,132000
370,20,9830,1959,1997,576,2010,162000
371,60,8121,2000,2000,460,2006,172400
372,50,17120,1959,1991,680,2008,134432
373,120,7175,1984,1984,264,2010,125000
374,20,10634,1953,1953,270,2009,123000
375,60,8200,2003,2003,434,2007,219500
376,30,10020,1922,NA,0,2009,61000
377,85,8846,1996,1998,576,2006,148000
378,60,11143,2004,2004,610,2007,340000
379,20,11394,2010,2010,834,2010,394432
380,60,8123,2000,2000,463,2009,179000
381,50,5000,1924,1924,308,2010,127000
382,20,7200,2006,2006,572,2006,187750
383,60,9245,2006,2006,639,2007,213500
384,45,9000,1928,1950,360,2009,76000
385,60,53107,1992,1992,501,2007,240000
386,120,3182,2004,2004,430,2010,192000
387,50,8410,1910,NA,0,2006,81000
388,80,7200,1976,1977,352,2009,125000
389,20,9382,1999,1999,577,2008,191000
390,60,12474,2007,2008,846,2008,426000
391,50,8405,1900,1978,384,2008,119000
392,60,12209,2001,2001,560,2009,215000
393,20,8339,1959,1959,294,2007,106500
394,30,7446,1941,NA,0,2006,100000
395,50,10134,1940,1940,240,2007,109000
396,20,9571,1956,1956,596,2010,129000
397,20,7200,1972,1985,600,2009,123000
398,60,7590,1962,1962,264,2007,169500
399,30,8967,1920,1920,338,2007,67000
400,60,8125,2006,2007,438,2009,241000
401,120,14963,1996,1996,500,2008,245500
402,20,8767,2005,2005,400,2006,164990
403,30,10200,1940,1940,240,2008,108000
404,60,12090,1998,1998,420,2006,258000
405,60,10364,1995,1995,373,2007,168000
406,20,9991,1976,1993,490,2009,150000
407,50,10480,1936,1936,240,2008,115000
408,70,15576,1915,1960,308,2008,177000
409,60,14154,2006,2006,947,2007,280000
410,60,10800,2007,2008,836,2008,339750
411,20,9571,1958,1958,350,2009,60000
412,190,34650,1955,1955,572,2006,145000
413,20,4403,2009,2009,484,2010,222000
414,30,8960,1927,1927,360,2010,115000
415,60,11228,1993,1993,678,2008,228000
416,20,8899,2007,2007,396,2007,181134
417,60,7844,1978,1978,440,2006,149500
418,70,22420,1918,1918,864,2007,239000
419,50,8160,1940,1940,240,2007,126000
420,20,8450,1968,1968,304,2010,142000
421,90,7060,1997,1997,784,2008,206300
422,20,16635,1977,1977,529,2009,215000
423,20,21750,1954,1954,520,2008,113000
424,60,9200,1998,1998,696,2008,315000
425,20,9000,1956,1956,297,2008,139000
426,60,3378,1946,1947,240,2009,135000
427,80,12800,1989,1989,569,2009,275000
428,20,8593,1957,1964,352,2008,109008
429,20,6762,2007,2007,628,2007,195400
430,20,11457,1988,1988,576,2009,175000
431,160,1680,1971,1971,264,2008,85400
432,50,5586,1920,NA,0,2008,79900
433,160,1920,1971,1971,440,2007,122500
434,60,10839,1997,1997,470,2008,181000
435,180,1890,1972,NA,0,2008,81000
436,60,10667,1996,1996,550,2009,212000
437,50,4400,1920,1990,440,2006,116000
438,45,6000,1926,1926,180,2009,119000
439,30,4280,1913,1990,352,2007,90350
440,50,12354,1920,2005,528,2009,110000
441,20,15431,2008,2008,672,2009,555000
442,90,12108,1955,NA,0,2008,118000
443,50,6240,1930,1930,360,2008,162900
444,120,3922,2006,2007,648,2007,172500
445,60,8750,1994,1994,493,2008,210000
446,20,9855,1956,1956,480,2009,127500
447,20,16492,1966,1966,578,2010,190000
448,60,11214,1998,1998,431,2006,199900
449,50,8600,1937,1937,198,2006,119500
450,50,6000,1948,1981,308,2007,120000
451,30,5684,1930,1932,270,2006,110000
452,20,70761,1975,1975,576,2006,280000
453,60,9303,1996,1996,422,2007,204000
454,60,9000,2008,2008,676,2009,210000
455,90,9297,1976,1976,560,2006,188000
456,20,9600,1973,1973,528,2007,175500
457,70,4571,1916,1916,513,2008,98000
458,20,53227,1954,1954,529,2008,256000
459,70,5100,1925,1925,228,2008,161000
460,50,7015,1950,1950,352,2009,110000
461,60,8004,2009,2009,552,2009,263435
462,70,7200,1936,1971,576,2009,155000
463,20,8281,1965,1965,360,2009,62383
464,70,11988,1934,1939,240,2008,188700
465,20,8430,1978,NA,0,2009,124000
466,120,3072,2004,2004,398,2006,178740
467,20,10628,1970,1970,526,2007,167000
468,70,9480,1942,1942,312,2007,146500
469,20,11428,2006,2006,866,2007,250000
470,60,9291,1993,1993,506,2008,187000
471,120,6820,1985,1985,528,2010,212000
472,60,11952,1977,1977,534,2007,190000
473,180,3675,2005,2005,525,2008,148000
474,20,14977,2006,2006,908,2007,440000
475,120,5330,2000,2000,499,2007,251000
476,20,8480,1963,1996,624,2007,132500
477,20,13125,1997,1997,508,2008,208900
478,60,13693,2006,2006,694,2007,380000
479,20,10637,2007,2007,826,2009,297000
480,30,5925,1937,1995,672,2007,89471
481,20,16033,2004,2004,772,2006,326000
482,20,11846,2003,2003,874,2006,374000
483,70,2500,1915,1915,164,2009,155000
484,120,4500,1998,1998,402,2006,164000
485,20,7758,1962,1963,264,2007,132500
486,20,9600,1950,1950,264,2009,147000
487,20,10289,1965,1965,515,2007,156000
488,20,12243,1971,1971,487,2007,175000
489,190,10800,1900,1970,520,2006,160000
490,180,1526,1970,1970,286,2009,86000
491,160,2665,1976,1976,336,2008,115000
492,50,9490,1941,1941,240,2006,133000
493,60,15578,2006,2006,429,2006,172785
494,20,7931,1960,1964,308,2008,155000
495,30,5784,1938,1938,273,2009,91300
496,30,7879,1920,NA,0,2009,34900
497,20,12692,1992,1992,546,2007,430000
498,50,9120,1925,1925,240,2008,184000
499,20,7800,1967,1967,288,2009,130000
500,20,7535,1958,1958,297,2007,120000
501,160,1890,1973,1973,264,2007,113000
502,60,9803,2005,2005,603,2008,226700
503,20,9170,1965,1965,461,2007,140000
504,20,15602,1959,1959,484,2010,289000
505,160,2308,1974,1974,440,2009,147000
506,90,7596,1952,1952,400,2009,124500
507,60,9554,1993,1993,471,2006,215000
508,20,7862,2009,2009,676,2009,208300
509,70,9600,1928,1928,360,2008,161000
510,20,9600,1959,1959,270,2009,124500
511,20,14559,1951,1951,288,2009,164900
512,120,6792,2005,2005,474,2006,202665
513,20,9100,1958,1964,624,2006,129900
514,20,9187,1983,1983,484,2007,134000
515,45,10594,1926,1926,200,2007,96500
516,20,12220,2009,2009,900,2009,402861
517,80,10448,1972,1972,583,2009,158000
518,60,10208,1996,1996,889,2009,265000
519,60,9531,1998,1998,546,2007,211000
520,70,10918,1926,1926,282,2009,234000
521,190,10800,1900,NA,0,2008,106250
522,20,11988,1957,1957,336,2007,150000
523,50,5000,1947,1950,420,2006,159000
524,60,40094,2007,2007,884,2007,184750
525,60,11787,1996,1996,834,2007,315750
526,20,7500,2005,2005,453,2006,176000
527,20,13300,1956,1956,252,2007,132000
528,60,14948,2008,2008,858,2008,446261
529,30,9098,1920,NA,0,2007,86000
530,20,32668,1957,1975,484,2007,200624
531,80,10200,1988,1988,600,2008,175000
532,70,6155,1920,1920,502,2008,128000
533,20,7200,1955,1967,392,2010,107500
534,20,5000,1946,NA,0,2007,39300
535,60,9056,2004,2004,403,2006,178000
536,190,7000,1910,NA,0,2008,107500
537,60,8924,1998,1998,527,2008,188000
538,20,12735,1972,1980,576,2008,111250
539,20,11553,1968,1968,336,2006,158000
540,20,11423,2001,2001,670,2010,272000
541,20,14601,2006,2006,765,2009,315000
542,60,11000,2000,2000,648,2007,248000
543,20,10140,1998,1998,583,2009,213250
544,120,4058,1998,1998,367,2007,133000
545,60,17104,2006,2006,426,2006,179665
546,50,13837,1988,1988,786,2006,229000
547,50,8737,1923,1950,440,2007,210000
548,85,7244,1970,1987,624,2007,129500
549,20,8235,1955,1963,720,2008,125000
550,60,9375,2003,2003,615,2009,263000
551,120,4043,1977,1977,440,2008,140000
552,20,6000,1957,1957,288,2008,112500
553,20,11146,2006,2006,908,2009,255500
554,20,8777,1949,2002,520,2009,108000
555,60,10625,2003,2003,871,2008,284000
556,45,6380,1922,1922,280,2006,113000
557,20,14850,1957,1957,299,2006,141000
558,50,11040,1920,1994,570,2006,108000
559,60,21872,1996,1996,406,2008,175000
560,120,3196,2003,2003,420,2006,234000
561,20,11341,1957,1957,528,2010,121500
562,20,10010,1974,1975,418,2006,170000
563,30,13907,1940,NA,0,2008,108000
564,50,21780,1918,1955,396,2008,185000
565,60,13346,1992,1992,590,2006,268000
566,70,6858,1915,1920,216,2010,128000
567,60,11198,2005,2005,656,2008,325000
568,20,10171,2004,2004,532,2010,214000
569,50,12327,1983,1983,612,2009,316600
570,90,7032,1979,1979,600,2006,135960
571,90,13101,1965,1987,576,2008,142600
572,20,7332,1959,1959,288,2006,120000
573,60,13159,2009,2009,650,2009,224500
574,80,9967,2000,2000,400,2007,170000
575,80,10500,1971,1971,288,2007,139000
576,50,8480,1947,1947,336,2008,118500
577,50,6292,1928,1928,216,2009,145000
578,80,11777,1966,1966,564,2006,164500
579,160,3604,2007,2007,540,2008,146000
580,50,12150,1954,1954,352,2008,131500
581,20,14585,1960,1960,572,2007,181900
582,20,12704,2008,2009,1390,2009,253293
583,90,11841,1990,NA,0,2007,118500
584,75,13500,1893,1988,880,2008,325000
585,50,6120,1935,1935,240,2009,133000
586,20,11443,2005,2005,880,2006,369900
587,30,10267,1918,1961,275,2008,130000
588,85,8740,1982,1996,528,2009,137000
589,20,25095,1968,1968,452,2009,143000
590,40,9100,1930,1988,308,2008,79500
591,60,8320,2004,2004,520,2008,185900
592,60,13478,2008,2008,842,2009,451950
593,20,6600,1982,1985,816,2008,138000
594,120,4435,2003,2003,420,2009,140000
595,20,7990,1975,1981,280,2008,110000
596,20,11302,2005,2005,758,2006,319000
597,70,3600,1910,1930,216,2006,114504
598,120,3922,2006,2006,648,2007,194201
599,20,12984,1977,1977,621,2006,217500
600,160,1950,1980,1980,452,2008,151000
601,60,10927,2005,2003,736,2006,275000
602,50,9000,1937,1979,544,2007,141000
603,60,10041,1992,1992,506,2006,220000
604,160,3182,2004,2004,480,2010,151000
605,20,12803,2002,2002,530,2008,221000
606,60,13600,1965,1965,486,2009,205000
607,20,12464,1996,2000,576,2009,152000
608,20,7800,1948,1948,230,2006,225000
609,70,12168,1934,1934,380,2007,359100
610,20,7943,1961,1961,261,2007,118500
611,60,11050,2000,2000,736,2009,313000
612,80,10395,1978,1978,564,2007,148000
613,60,11885,2001,2001,531,2009,261500
614,20,8402,2007,NA,0,2007,147000
615,180,1491,1972,NA,0,2010,75500
616,85,8800,1963,1963,480,2010,137500
617,60,7861,2002,2002,393,2006,183200
618,45,7227,1954,1962,528,2008,105500
619,20,11694,2007,2007,774,2007,314813
620,60,12244,2003,2003,749,2008,305000
621,30,8248,1914,NA,0,2008,67000
622,60,10800,1974,1974,624,2008,240000
623,20,7064,1977,1986,484,2009,135000
624,160,2117,2000,2000,440,2007,168500
625,60,10400,1972,1972,484,2006,165150
626,20,10000,1962,1962,440,2010,160000
627,20,12342,1960,1960,286,2007,139900
628,80,9600,1955,1955,364,2010,153000
629,60,11606,1969,1969,504,2007,135000
630,80,9020,1964,1964,520,2008,168500
631,70,9000,1880,1937,240,2006,124000
632,120,4590,2006,2006,627,2007,209500
633,20,11900,1977,1977,544,2009,82500
634,20,9250,1954,1954,260,2007,139400
635,90,6979,1980,1980,576,2010,144000
636,190,10896,1914,NA,0,2007,200000
637,30,6120,1936,NA,0,2009,60000
638,190,6000,1954,1954,256,2009,93000
639,30,8777,1910,NA,0,2008,85000
640,120,3982,2006,2006,648,2006,264561
641,120,12677,2003,2003,588,2008,274000
642,60,7050,2001,2001,650,2007,226000
643,80,13860,1972,1972,538,2009,345000
644,60,10793,1969,1969,462,2007,152000
645,20,9187,2009,2009,478,2009,370878
646,20,10530,1971,1979,576,2007,143250
647,20,7200,1950,1950,420,2008,98300
648,20,10452,1953,1953,495,2008,155000
649,60,7700,1966,1966,442,2010,155000
650,180,1936,1970,NA,0,2007,84500
651,60,8125,2007,2007,562,2008,205950
652,70,9084,1940,1940,296,2009,108000
653,60,8750,1996,1996,512,2009,191000
654,50,10320,1906,1906,216,2008,135000
655,20,10437,1995,1995,839,2008,350000
656,160,1680,1971,1971,264,2010,88000
657,20,10007,1959,1959,312,2008,145500
658,70,7200,1931,1931,270,2008,149000
659,50,17503,1948,1948,330,2010,97500
660,20,9937,1964,1968,480,2009,167000
661,60,12384,1976,1976,550,2007,197900
662,60,46589,1994,1994,711,2009,402000
663,20,13560,1968,1968,576,2009,110000
664,85,10012,1972,1974,588,2008,137500
665,20,20896,2005,2005,1134,2006,423000
666,60,11194,2000,2000,504,2006,230500
667,60,18450,1965,1965,596,2007,129000
668,20,8125,1994,1994,575,2008,193500
669,20,14175,1956,1999,576,2006,168000
670,30,11600,1922,1922,252,2006,137500
671,60,8633,2005,2005,540,2009,173500
672,70,6629,1925,1930,300,2009,103600
673,20,11250,1977,1977,546,2006,165000
674,20,14442,1957,1957,416,2007,257500
675,20,9200,1965,1965,384,2008,140000
676,160,2289,1978,1978,440,2009,148500
677,70,9600,1900,1920,779,2006,87000
678,30,9022,1924,1924,240,2009,109500
679,20,11844,2008,2008,834,2009,372500
680,20,9945,1961,1963,572,2007,128500
681,120,8012,1980,1980,264,2010,143000
682,50,4500,1932,1968,281,2009,159434
683,120,2887,1996,1996,431,2008,173000
684,20,11248,2002,2002,702,2007,285000
685,60,16770,1998,1998,486,2010,221000
686,160,5062,1984,1984,577,2007,207500
687,60,10207,2007,2007,578,2007,227875
688,160,5105,2004,2004,480,2007,148800
689,20,8089,2007,2007,567,2007,392000
690,120,7577,2005,2005,460,2007,194700
691,120,4426,2004,2004,420,2008,141000
692,60,21535,1994,1994,832,2007,755000
693,60,26178,1989,1989,628,2006,335000
694,30,5400,1921,1968,326,2006,108480
695,50,6120,1936,1995,576,2009,141500
696,20,13811,1987,1987,551,2006,176000
697,30,6000,1921,1921,205,2006,89000
698,20,6420,1952,1952,308,2006,123500
699,20,8450,1965,1973,336,2010,138500
